Date,Elevation (feet),,,,,,,,,
01-Dec-2008,3617.89, , , , , , , , , 
01-Jan-2009,3614.17, , , , , , , , , 
01-Feb-2009,3612.05, , , , , , , , , 
01-Mar-2009,3610.43, , , , , , , , , 
01-Apr-2009,3611.26, , , , , , , , , 
01-May-2009,3629.09, , , , , , , , , 
01-Jun-2009,3640.49, , , , , , , , , 
01-Jul-2009,3641.14, , , , , , , , , 
01-Aug-2009,3637.5, , , , , , , , , 
01-Sep-2009,3635.37, , , , , , , , , 
01-Oct-2009,3633.52, , , , , , , , , 
01-Nov-2009,3631.1, , , , , , , , , 
01-Dec-2009,3626.22, , , , , , , , , 
01-Jan-2010,3622.14, , , , , , , , , 
01-Feb-2010,3620.16, , , , , , , , , 
01-Mar-2010,3619.41, , , , , , , , , 
01-Apr-2010,3620.5, , , , , , , , , 
01-May-2010,3625.96, , , , , , , , , 
01-Jun-2010,3638.82, , , , , , , , , 
01-Jul-2010,3636.52, , , , , , , , , 
01-Aug-2010,3634.55, , , , , , , , , 
01-Sep-2010,3633.66, , , , , , , , , 
01-Oct-2010,3634.08, , , , , , , , , 
01-Nov-2010,3630.31, , , , , , , , , 
01-Dec-2010,3626.54, , , , , , , , , 
01-Jan-2011,3620.55, , , , , , , , , 
01-Feb-2011,3614.95, , , , , , , , , 
01-Mar-2011,3610.73, , , , , , , , , 
01-Apr-2011,3611.93, , , , , , , , , 
01-May-2011,3623.13, , , , , , , , , 
01-Jun-2011,3648.98, , , , , , , , , 
01-Jul-2011,3660.86, , , , , , , , , 
01-Aug-2011,3655.34, , , , , , , , , 
01-Sep-2011,3653.01, , , , , , , , , 
01-Oct-2011,3650.27, , , , , , , , , 
01-Nov-2011,3645.67, , , , , , , , , 
01-Dec-2011,3639.75, , , , , , , , , 
01-Jan-2012,3636.91, , , , , , , , , 
01-Feb-2012,3635.28, , , , , , , , , 
01-Mar-2012,3635.33, , , , , , , , , 
01-Apr-2012,3635.76, , , , , , , , , 
01-May-2012,3636.83, , , , , , , , , 
01-Jun-2012,3633.9, , , , , , , , , 
